CNVD-2010-2615,44564,Yaws URI目录遍历漏洞,2010/11/2,中,Yaws Yaws 1.89   ;   ,Yaws是一款高性能的WEB服务器。通过URL传递的输入在用于读取文件之前缺少校验，攻击者可以通过目录遍历攻击读取任意文件内容。,http://secunia.com/advisories/42066/,目前没有详细解决方案提供：http://yaws.hyber.org/,Null
CNVD-2016-00982,82230,nginx拒绝服务漏洞（CNVD-2016-00982）,2016/2/16,中,Nginx nginx < 1.8.1   ;   Nginx nginx 1.9.x(< 1.9.10)   ;   ,nginx是一款HTTP和反向代理服务器，也可以作为邮件代理服务器。nginx中存在安全漏洞，允许远程攻击者可利用该漏洞提交特殊请求进行拒绝服务攻击。,http://www.securityfocus.com/bid/82230,用户可参考如下厂商提供的安全补丁以修复该漏洞：http://nginx.org/,nginx拒绝服务漏洞（CNVD-2016-00982）的补丁:http://www.cnvd.org.cn/patchInfo/show/71342
CNVD-2001-0856, ,Anaconda Clipper 目录遍历漏洞,2001/3/28,低,(暂无),"Anaconda(&lt;a href='http://www.anaconda.net'>http://www.anaconda.net&lt;/a>)开发的Anaconda Clipper ver. 3.3没有正确的过滤用户输入数据中的""../""字符，因此攻击者可以利用此漏洞获取任意httpd运行用户可读的文件，例如/etc/passwd.&lt;*来源：UkR-XblP / UkR security team         &lt;a href='http://www.ukrteam.ru'>http://www.ukrteam.ru&lt;/a> *>",Null,,Null
CNVD-2005-0230, ,SparkleBlog多个安全漏洞,2005/1/15,中,(暂无),SparkleBlog是一款开放源代码的PHP脚本。SparkleBlog存在多个安全问题，远程攻击者可以利用这个漏洞获得敏感信息，或进行跨站脚本攻击。SparkleBlog多个管理脚本访问不需要密码：[blogsite]/admin/blogadmin.php[blogsite]/admin/cpconfig.php[blogsite]/admin/editentries.php[blogsite]/admin/update.php另外journal.php脚本存在跨站脚本攻击：[blogsite]/journal.php?id=document.write(unescape(%22%3CSCRIPT%3Ealert(document.domain);%3C/SCRIPT%3E%3CSCRIPT%3Ealert(document.cookie);%3C/SCRIPT%3E%22));journal.php和archives.php脚本对id参数处理不正确还存在路径泄露问题：[blogsite]/blog/journal.php?id=',Null,SparkleBlog-----------目前厂商还没有提供补丁或者升级程序，我们建议使用此软件的用户随时关注厂商的主页以获取最新版本：http://www.creamed-coconut.org/sparkleblog.php,Null
CNVD-2002-4330, ,Okena StormWatch Null默认密码漏洞,2002/12/19,高,(暂无),"Okena StormWatch是一款商业性质入侵检测产品。Okena StormWatch数据库管理用户的密码为空，远程攻击者可以利用这个漏洞连接有此漏洞的数据库服务器，无需密码以管理员权限访问数据库。由于数据库""sa""用户的密码为空，攻击者可以利用SQL客户端连接数据库无需密码访问，修改数据库。不过根据供应商返回信息，StormWatch安装之后，""sa""帐户密码设置为随机值，而且验证类型默认为'windows'以确保只有本地管理员可以访问数据库。",Null,Okena-----目前厂商还没有提供补丁或者升级程序，我们建议使用此软件的用户随时关注厂商的主页以获取最新版本：http://www.okena.com,Null
CNVD-2001-0860, ,Bea Weblogic Server源码泄漏漏洞,2001/3/29,低,(暂无),"Bea weblogic在Windows平台下的版本存在一个安全漏洞，攻击者通过提交一个特殊的URL,就可以获取JSP文件的源码。&lt;*来源：Adam Boileau (&lt;a href='mailto:adam.boileau@STORM.NET.NZ'>adam.boileau@STORM.NET.NZ&lt;/a>) *>",Null,,Null
CNVD-2000-0633, ,Mindstorm Networks SmartFTP Daemon 目录遍历漏洞,2000/6/16,低,(暂无),"Mindstorm Networks SmartFTP Daemon 每次增加帐号时，创建一个唯一的文件，包含帐号口令、权限等信息，文件名形如username.FTP_user。如果已经存在的帐号(包括匿名帐号)拥有写权限，就有可能上载一个自定义的username.FTP_user文件，该文件中指定的帐号拥有最高权限。当出现登录提示符的时候，本来应该输入用户名，但通过输入""../&lt;path>/username""就会使用前面上传的帐号文件，进而获得最高权限。 &lt;* 来源：Moritz Jodeit mjodeit@gmx.de *>",Null,,Null
CNVD-2009-2637, ,Jetty服务器跨站脚本和目录遍历漏洞,2009/5/4,低,(暂无),Jetty是一款流行的Java Web服务器。Jetty中捆绑有HTTP服务器、HTTP客户端和javax.servlet容器，其中HTTP服务器的URI处理器没有正确的解释规范的路径，远程攻击者可以通过目录遍历攻击访问web应用或文档树以外的文件。成功利用这个漏洞要求使用了支持别名的DefaultServlet，或使用ResourceHandler类提供静态内容。对于UNIX系统，仅在webapp或docroot中存在以“?”字符结尾的目录名时才受这个漏洞影响。Jetty在显示Web目录列表时没有正确地过滤URL输入便返回给了用户，远程攻击者可以在HTTP响应中目录列表路径前附加“;”字符执行跨站脚本攻击，在用户浏览器会话中注入并执行任意HTML和脚本代码。,Null,Jetty-----目前厂商已经发布了升级补丁以修复这个安全问题，请到厂商的主页下载：http://jira.codehaus.org/secure/attachment/41486/JETTY-980.patch,Null
CNVD-2008-0007, ,Jetty双斜线URI处理信息泄露漏洞,2008/1/3,低,(暂无),Jetty是一款流行的Java Web服务器。Jetty处理用户请求时存在漏洞，远程攻击者可能利用此漏洞绕过访问验证获取敏感信息。如果未经认证的远程攻击者向Jetty服务器提交了包含有两个斜线字符（/）的特制URI请求的话，就可以查看隐藏的或保密的文件和目录。,Null,Jetty-----目前厂商已经发布了升级补丁以修复这个安全问题，请到厂商的主页下载：http://docs.codehaus.org/display/JETTY/Downloading+and+Installing,Null
CNVD-2004-2697, ,IBM Trading Partner Interchange远程文件泄露漏洞,2004/10/6,高,(暂无),IBM Trading Partner Interchange是一款B-B集成的综合业务整合解决方案。IBM TPI包含的Jetty HTTP服务程序存在输入验证问题，远程攻击者可以利用这个漏洞以进程权限查看系统上任意文件内容。远程用户在知道目录结构的情况下，可访问目标系统中的文件内容。不过目前没有详细漏洞细节提供。,Null,IBM---下载使用IBM Trading Partner Interchange 4.2.4版本：http://www.ibm.com/support/docview.wss?uid=swg21178665,Null
CNVD-2009-5087, ,nginx WebDAV目录遍历漏洞,2009/9/23,低,(暂无),nginx是多平台的HTTP服务器和邮件代理服务器。nginx可以用作webdav发布服务器，通过webdav用户可以将文件从一个位置拷贝或移动到另一个位置。MOVE或COPY方式需要使用包含有放置文件位置信息的Destination: HTTP头。如果在这个头中使用“../”等字符，攻击者就可以遍历目录树，将文件放置在webroot之外。nginx默认以nobody用户权限运行，因此这个bug并不严重，因为攻击者仅允许向/tmp/或属于nobody的目录写入文件。此外，攻击还需要webdav的upload权限。,Null,Igor Sysoev-----------目前厂商还没有提供补丁或者升级程序，我们建议使用此软件的用户随时关注厂商的主页以获取最新版本：http://nginx.net/,Null
CNVD-2009-4988, ,nginx代理DNS缓存域欺骗漏洞,2009/9/17,中,(暂无),nginx是多平台的HTTP服务器和邮件代理服务器。nginx对解析过的域名维护一个内部的DNS缓存，但在搜素缓存时，nginx仅检查名称的crc32是否匹配以及短名称是长名称的前缀，但没有检查名称的长度是否相等。如果nginx配置为代理缓存的话，远程攻击者就可以通过DNS投毒攻击欺骗域名，诱骗用户相信所访问的域名为合法。,Null,Igor Sysoev-----------目前厂商还没有提供补丁或者升级程序，我们建议使用此软件的用户随时关注厂商的主页以获取最新版本：http://nginx.net/,Null
