CNVD-2012-7591,55166,Joomla! CiviCRM组件FCKeditor编辑器上传漏洞,2012/12/21,中,Joomla! CiviCRM component 2.5 4.2.0   ;   Joomla! CiviCRM component 1.7 4.2.0   ;   ,Joomla!是一款开放源码的内容管理系统(CMS)。Joomla! CiviCRM组件存在编辑器上传漏洞。由于应用程序未能充分过滤用户提供的输入，攻击者可以利用漏洞在Web服务器进程的上下文中上传任意代码，这将有助于未经授权的访问或特权升级。,http://www.securityfocus.com/bid/55166http://packetstormsecurity.org/files/115791/Joomla-1.7-2.5-Civicrm-Arbitrary-File-Upload.html,,Null
CNVD-2017-28444,100259,Apache Subversion远程代码执行漏洞,2017/9/27,高,Apache Subversion <1.8.19   ;   Apache Subversion 1.9.*，<1.9.7   ;   Apache Subversion >=1.10.0.x，<=1.10.0-alpha3   ;   ,Subversion是一款开源多用户版本控制系统，支持非ASCII文本和二进制数据。Subversion客户端处理svn+ssh:// URL时存在安全漏洞，允许远程攻击者利用漏洞构建恶意请求，可以在应用程序上下文执行任意shell命令。,https://nvd.nist.gov/vuln/detail/CVE-2017-9800,用户可参考如下厂商提供的安全补丁以修复该漏洞：https://subversion.apache.org/security/CVE-2017-9800-advisory.txt,Apache Subversion远程代码执行漏洞的补丁:http://www.cnvd.org.cn/patchInfo/show/102921
CNVD-2017-28444,100259,Apache Subversion远程代码执行漏洞,2017/9/27,高,Apache Subversion <1.8.19   ;   Apache Subversion 1.9.*，<1.9.7   ;   Apache Subversion >=1.10.0.x，<=1.10.0-alpha3   ;   ,Subversion是一款开源多用户版本控制系统，支持非ASCII文本和二进制数据。Subversion客户端处理svn+ssh:// URL时存在安全漏洞，允许远程攻击者利用漏洞构建恶意请求，可以在应用程序上下文执行任意shell命令。,https://nvd.nist.gov/vuln/detail/CVE-2017-9800,用户可参考如下厂商提供的安全补丁以修复该漏洞：https://subversion.apache.org/security/CVE-2017-9800-advisory.txt,Apache Subversion远程代码执行漏洞的补丁:http://www.cnvd.org.cn/patchInfo/show/102921
CNVD-2018-12181,104308,Wireshark拒绝服务漏洞（CNVD-2018-12181）,2018/6/27,中,Wireshark Wireshark 2.6.0   ;   ,Wireshark是一个网络封包分析软件。网络封包分析软件的功能是撷取网络封包，并尽可能显示出最为详细的网络封包资料。Wireshark使用WinPCAP作为接口，直接与网卡进行数据报文交换。Wireshark 2.6.0中的IEEE 1905.1a解析器存在拒绝服务漏洞。攻击者可以利用漏洞崩溃受影响的应用程序或消耗过多的内存，从而拒绝为合法用户提供服务。,https://www.wireshark.org/security/wnpa-sec-2018-26.html,厂商已发布漏洞修复程序，请及时关注更新：https://code.wireshark.org/review/gitweb?p=wireshark.git;a=commit;h=cb517a4a434387e74a2f75ebb106ee3c3893251c,Wireshark拒绝服务漏洞（CNVD-2018-12181）的补丁:http://www.cnvd.org.cn/patchInfo/show/132981
CNVD-2006-8553, ,Knownsoft Turbo Searcher ARJ文件处理栈溢出漏洞,2006/11/19,高,(暂无),Turbo Searcher是一款快速进行文件搜索的工具，可以用文件名、文件夹、时间、大小等搜索任何文件。Turbo Searcher所使用的7-Zip ARJ插件（arj.dll）中存在栈溢出漏洞，远程攻击者可能利用此漏洞在用户机器上执行任意指令。如果用户受骗对包含有恶意ARJ文档的目录执行了搜索的话，同时禁用了“Quick Search”选项且启用了“Search in compressed file”选项，就会触发这个漏洞，导致执行任意代码。,Null,Knownsoft---------目前厂商已经发布了升级补丁以修复这个安全问题，请到厂商的主页下载：http://www.knownsoft.com/download.htm,Null
CNVD-2000-1370, ,DB2 For Win NT SQL语句拒绝服务攻击,2000/12/8,低,(暂无),IBM DB2 Universal Database 一种分布式数据库系统。提交如下SQL语句将导致DB2Universal Database崩溃： connect reset;connect to sample user db2admin using db2admin;select * from employee where year(birthdate)=1999 and firstnme&lt;''; 必须重启数据库才能恢复正常。 &lt;* 来源：Benjurry (&lt;a href='benjurry@yeah.net'>benjurry@yeah.net&lt;/a>) *>,Null,,Null
CNVD-2009-2203, ,PHP cURL safe_mode和open_basedir绕过安全限制漏洞,2009/4/10,高,(暂无),"PHP是广泛使用的通用目的脚本语言，特别适合于Web开发，可嵌入到HTML中。PHP支持libcurl库，用户可以使用各种类型的协议连接到不同类型的服务器。curl函数在检查safe_mode和open_basedir限制时存在漏洞，可能允许用户绕过安全限制执行非授权操作。例如对于以下代码：curl_setopt($ch, CURLOPT_URL, ""file:file:////etc/passwd"");curl首先对以下内容检查safe_mode和open_basedir：""file:////etc/passwd""接下来读取：""file:////etc/passwd""如果恶意用户创建了类似于以下的虚拟树：./file:/./file:/etc/./file:/etc/passwd//etc/hosts示例：./file:/./file:/etc/./file:/etc/hosts/创建特殊的子目录就可以以其他用户权限执行文件。- ---EXAMPLE-EXPLOIT---mkDIR(""file:"");chdir(""file:"");mkDIR(""etc"");chdir(""etc"");mkDIR(""passwd"");chdir("".."");chdir("".."");$ch = curl_init();curl_setopt($ch, CURLOPT_URL, ""file:file:////etc/passwd"");curl_setopt($ch, CURLOPT_HEADER, 0);curl_exec($ch);curl_close($ch);- ---EXAMPLE-EXPLOIT---",Null,PHP---目前厂商还没有提供补丁或者升级程序，我们建议使用此软件的用户随时关注厂商的主页以获取最新版本：http://www.php.net,Null
CNVD-2004-1686, ,Horde Chora Viewer远程命令执行漏洞,2004/6/13,高,(暂无),Chora是一款基于PHP的SVN/CVS知识库查看程序。Horde Chora Viewer对用户提交的输入没有很好的过滤，远程攻击者可以利用这个漏洞以进程权限在系统上执行任意命令。问题存在于chora的diff viewer功能上，攻击者利用PHP的文件上传功能，可以上传到服务器，并且把包含SHELL元字符的数据作为URI参数传递给服务程序，程序将调用exec()函数执行指定的SHELL命令，可以进程权限在系统上执行任意命令。,Null,Horde-----目前厂商已经发布了升级补丁以修复这个安全问题，请到厂商的主页下载：Horde Upgrade chora-1.2.2.tar.gzftp://ftp.horde.org/pub/chora/chora-1.2.2.tar.gz,Null
CNVD-2002-2710, ,FileZilla FTP Server目录遍历漏洞,2002/5/28,中,(暂无),FileZilla FTP Server是一款小型FTP服务程序，可使用在Microsoft Windows操作系统下。FileZilla FTP Server对用户输入过滤不充分，使远程攻击者可能以ftp进程的权限遍历主机上的目录，读取任意它有权限读取的文件。攻击者可以在FTP命令中提交包含'/../'或者'..'字符的参数进行目录遍历，导致绕过ftp root目录限制而以ftp进程的权限遍历主机上的文件系统。,Null,FileZilla---------目前厂商已经发布了升级补丁以修复这个安全问题，请到厂商的主页下载：FileZilla Upgrade FileZilla_Server_0_7_1http://prdownloads.sourceforge.net/filezilla/FileZilla_Server_0_7_1.exe,Null
CNVD-2008-3346, ,vBulletin adminlog.php请求记录HTML注入漏洞,2008/7/8,高,(暂无),vBulletin是一款开放源代码PHP论坛程序。vBulletin管理控制面板的日志查看页面存在跨站脚本漏洞。如果用户请求了缺失的页面时，就会在管理区域创建日志，但没有过滤检查该日志的输入。脚本名称是从basename(PHP_SELF)获得的，操作是从_REQUEST['do']获得的，这两种方式都可能导致跨站脚本攻击。,Null,VBulletin---------目前厂商已经发布了升级补丁以修复这个安全问题，请到厂商的主页下载：http://www.vbulletin.com/,Null
